Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,student_id
1,39,1,9254,1,160.0,100.0,0,0,1,1,0,26,0,6,6,12.0,6,5,10.8,JJI-00070
1,17,1,9147,1,148.0,134.0,0,0,1,1,0,18,0,5,0,0.0,5,0,0.0,JJI-00071
1,17,1,9254,1,120.0,125.5,0,0,1,1,0,18,0,5,5,12.0,5,3,11.333333333333334,JJI-00084
1,1,6,9147,1,143.0,128.7,1,0,1,1,0,23,0,5,4,14.0,5,5,13.8,JJI-00089
1,43,2,9119,1,115.0,112.2,1,1,1,1,0,18,0,5,2,10.0,5,0,0.0,JJI-00090
1,15,1,9119,1,130.0,137.0,1,0,1,1,0,19,1,5,5,14.0,5,3,13.25,JJI-00096
1,1,1,9085,1,135.0,134.3,1,0,1,0,0,19,0,5,5,14.2,5,5,13.8,JJI-00099
1,17,2,9853,1,133.1,107.0,1,0,1,0,0,20,0,7,6,11.666666666666666,7,3,13.0,JJI-00110
1,17,2,9147,1,123.0,115.3,1,0,1,0,1,18,0,5,3,13.0,5,3,11.0,JJI-00112
1,43,1,9500,1,130.0,100.0,0,0,1,0,0,20,0,7,6,11.616666666666667,7,7,13.0,JJI-00116
1,17,1,9238,1,154.0,140.4,1,0,1,0,1,20,0,6,2,10.0,6,4,10.75,JJI-00117
1,17,1,9147,1,120.0,113.4,0,0,1,0,0,20,0,5,3,10.333333333333334,5,3,10.666666666666666,JJI-00118
1,1,1,9853,1,146.0,145.3,1,0,1,0,1,18,0,6,5,12.8,6,5,13.4,JJI-00128
1,1,2,9500,1,117.0,112.1,0,0,1,0,1,20,0,7,5,13.188,8,7,12.892857142857142,JJI-00139
1,51,1,9147,1,99.0,99.7,1,1,0,0,0,22,0,5,0,0.0,5,0,0.0,JJI-00143
1,1,1,171,1,136.0,121.7,1,0,1,0,0,18,0,0,0,0.0,0,0,0.0,JJI-00151
1,17,1,9853,1,138.0,124.7,1,0,1,0,0,18,0,6,3,12.333333333333334,6,5,10.833333333333334,JJI-00153
3,39,1,9003,1,170.0,170.0,0,1,1,0,0,47,0,1,0,0.0,6,0,0.0,JJI-00167
1,39,1,9085,1,130.0,130.0,1,0,1,0,0,28,0,5,4,11.25,5,4,10.5,JJI-00171
1,1,1,9670,1,131.0,123.0,1,0,1,0,1,18,0,5,3,11.666666666666666,5,4,13.5,JJI-00176
1,44,1,9991,0,140.0,140.0,0,0,1,0,1,26,0,6,6,12.666666666666666,6,6,13.166666666666666,JJI-00182
1,43,1,9238,1,143.0,126.6,0,1,0,0,0,21,0,10,8,11.5,6,4,10.0,JJI-00187
1,1,1,8014,0,120.0,122.8,0,0,1,0,0,23,0,6,2,10.0,5,1,10.0,JJI-00192
1,39,1,9500,1,120.0,105.9,0,0,1,0,0,35,0,3,3,11.816666666666668,3,3,11.333333333333334,JJI-00200
1,39,1,9556,1,130.0,145.0,0,0,1,0,0,25,0,7,6,12.125,8,8,13.3125,JJI-00216
1,1,3,9500,1,125.0,119.4,1,0,1,0,0,19,0,7,6,12.471428571428572,7,7,11.4625,JJI-00241
1,16,1,171,1,145.0,155.0,1,0,1,0,0,24,0,17,11,12.909090909090908,13,9,13.555555555555555,JJI-00242
1,1,3,9070,1,125.0,125.4,1,0,1,0,0,19,0,6,5,12.4,6,5,12.4,JJI-00251
1,1,1,9773,1,127.0,123.2,1,0,1,0,0,18,0,6,1,11.0,6,0,0.0,JJI-00254
1,17,3,9070,1,116.0,110.8,0,0,1,0,0,18,0,6,6,11.833333333333334,6,6,12.5,JJI-00258
1,1,1,9500,1,143.0,142.3,0,0,1,0,1,18,0,7,7,13.79714285714286,8,8,13.775,JJI-00279
1,17,1,9070,1,123.0,113.9,0,0,1,0,0,18,0,6,6,12.5,6,6,12.333333333333334,JJI-00287
1,44,1,9003,1,140.0,140.0,0,0,1,0,0,24,0,6,6,11.428571428571429,6,5,13.0,JJI-00293
1,1,1,9670,1,119.0,115.5,1,0,1,0,0,19,0,6,4,11.0,6,4,11.0,JJI-00306
1,17,1,9500,1,160.0,147.8,0,0,1,0,0,20,0,7,6,11.757142857142856,8,6,13.083333333333334,JJI-00320
1,5,3,9085,1,141.0,128.8,1,0,1,0,0,19,0,5,3,10.333333333333334,5,3,13.0,JJI-00325
1,1,1,9853,1,132.0,125.0,1,0,1,0,0,18,0,6,5,12.6,6,5,11.4,JJI-00329
1,1,1,9085,1,135.0,136.8,1,0,1,0,0,18,0,5,5,14.0,5,5,11.6,JJI-00330
1,1,1,9853,1,123.0,121.6,1,0,1,0,0,18,0,7,5,12.0,7,6,12.666666666666666,JJI-00331
1,1,1,9085,1,129.0,125.9,1,0,1,0,0,19,0,5,4,12.0,5,3,12.0,JJI-00341
1,42,1,9147,1,130.0,130.0,1,0,1,0,0,26,0,5,4,13.0,5,2,12.0,JJI-00345
1,43,1,9238,1,110.0,110.0,0,0,1,0,0,36,0,16,13,10.692307692307692,13,9,12.307692307692308,JJI-00347
1,1,2,8014,0,96.0,100.0,0,0,1,0,0,20,0,6,5,12.0,6,4,11.25,JJI-00350
1,39,1,9003,1,133.1,130.0,0,1,1,0,1,30,0,6,0,0.0,6,0,0.0,JJI-00359
1,17,4,9147,1,112.0,112.0,1,0,1,0,0,20,0,5,3,10.333333333333334,5,4,11.0,JJI-00363
1,1,4,9500,1,136.0,133.0,1,0,1,0,0,19,0,7,5,13.98,7,5,13.98,JJI-00365
1,17,1,9085,1,134.0,131.2,0,0,1,0,0,19,0,5,1,11.0,5,5,11.2,JJI-00368
4,39,1,9991,0,130.0,148.0,0,0,1,0,1,31,0,5,4,11.25,5,4,10.833333333333334,JJI-00372
2,51,1,8014,0,133.1,104.0,0,1,1,0,0,42,0,11,10,11.9,11,10,12.8,JJI-00376
1,17,1,9853,1,125.0,116.6,1,0,0,0,1,18,0,7,7,12.285714285714286,7,6,13.333333333333334,JJI-00379
1,44,1,9085,1,140.0,140.0,1,0,1,0,0,21,0,6,5,12.666666666666666,6,2,13.5,JJI-00380
1,43,1,9500,1,170.0,100.0,0,0,1,0,0,20,0,7,6,13.25,8,8,13.75,JJI-00382
1,1,1,9238,1,135.0,121.0,0,0,1,0,0,19,0,6,3,10.333333333333334,6,3,10.333333333333334,JJI-00383
1,17,1,9853,1,134.0,122.5,1,0,1,0,0,22,0,6,5,13.166666666666666,6,5,12.4,JJI-00389
1,44,1,9085,1,140.0,140.0,1,0,1,0,0,21,0,6,4,12.75,6,1,11.0,JJI-00391
1,39,1,9500,1,150.0,140.0,0,0,1,0,0,26,0,7,5,11.2,8,5,12.14,JJI-00392
1,17,4,9070,1,125.0,128.9,0,0,1,0,1,18,0,6,5,11.6,6,4,11.2,JJI-00401
1,17,1,9254,1,136.0,121.7,1,0,1,0,0,20,0,6,3,10.333333333333334,6,3,10.333333333333334,JJI-00402
1,1,1,9773,1,120.0,114.8,1,0,1,0,0,19,0,6,4,12.25,6,3,11.0,JJI-00403
1,1,1,9254,1,128.0,127.0,0,0,1,0,0,19,0,6,6,12.0,6,4,12.75,JJI-00404
1,17,1,9147,1,116.0,112.2,1,0,1,0,0,20,0,5,3,11.333333333333334,5,2,10.666666666666666,JJI-00428
1,17,1,9254,1,122.0,118.2,0,0,1,0,1,20,0,6,4,11.25,6,6,10.5,JJI-00437
1,43,1,9556,1,147.0,100.0,0,0,1,0,0,18,0,2,0,0.0,4,1,16.0,JJI-00441
1,43,1,9130,1,127.0,120.7,1,1,1,0,0,18,0,5,1,12.0,5,3,12.0,JJI-00442
1,1,3,9254,1,122.0,114.3,1,0,1,0,1,20,0,6,5,12.8,6,5,12.8,JJI-00450
1,1,3,9147,1,131.0,132.4,1,0,1,0,0,19,0,5,5,11.8,5,4,11.25,JJI-00455
1,17,1,9238,1,148.0,129.8,0,0,1,0,0,20,0,6,5,10.6,6,4,10.4,JJI-00465
1,1,1,9853,1,133.0,131.3,1,0,1,0,0,20,0,6,5,14.333333333333334,8,8,12.625,JJI-00467
1,17,1,9238,1,128.0,118.6,1,0,1,0,1,21,0,6,5,13.2,6,5,11.8,JJI-00480
1,44,1,9085,1,140.0,140.0,0,0,1,0,0,20,0,6,6,12.666666666666666,6,2,13.0,JJI-00484
1,1,1,9085,1,101.0,101.0,1,1,1,0,0,22,0,6,5,13.333333333333334,6,4,11.4,JJI-00494
1,1,1,9853,1,126.0,116.9,1,0,1,0,0,18,0,7,6,10.666666666666666,7,6,12.833333333333334,JJI-00495
1,17,3,9085,1,134.0,120.4,1,0,1,0,0,20,0,5,3,11.333333333333334,5,5,12.6,JJI-00501
1,1,1,9070,1,125.0,132.0,0,0,0,0,0,18,0,6,5,12.2,6,4,10.833333333333334,JJI-00503
1,39,1,9500,1,133.1,143.7,0,0,1,0,0,27,0,7,4,14.0,7,3,12.525,JJI-00506
1,39,1,33,1,140.0,152.8,0,0,1,0,0,26,0,7,7,14.75,7,5,13.8,JJI-00507
1,1,2,9070,1,121.0,120.7,1,0,1,0,0,18,0,6,4,10.75,6,0,0.0,JJI-00511
1,39,1,9119,1,133.1,100.9,1,0,1,1,0,24,0,5,1,12.0,5,3,10.5,JJI-00527
1,17,1,9147,1,126.0,116.9,0,0,1,1,1,19,0,5,3,11.666666666666666,5,3,11.666666666666666,JJI-00531
1,1,1,9147,1,117.0,118.4,0,0,1,1,0,20,0,5,5,10.0,5,2,12.0,JJI-00542
1,17,2,9119,1,127.0,121.1,1,0,1,1,1,18,0,5,5,13.2,5,5,12.6,JJI-00545
1,1,2,9147,1,133.0,121.8,0,0,1,1,0,20,0,5,4,10.2,5,3,11.0,JJI-00546
1,39,1,9119,1,120.0,146.8,0,0,1,1,0,25,0,5,5,14.2,5,2,13.5,JJI-00547
1,1,1,9670,1,133.1,138.0,0,1,1,1,0,22,0,6,6,12.625,6,2,14.5,JJI-00548
1,1,1,9500,1,149.0,138.0,0,0,1,1,0,18,0,8,6,13.496666666666668,8,6,13.496666666666668,JJI-00549
1,17,1,9147,1,130.0,117.8,1,0,1,1,0,20,0,5,3,11.0,5,3,12.0,JJI-00557
1,44,1,9254,1,130.0,130.0,1,1,1,1,0,23,0,6,3,11.5,6,3,10.666666666666666,JJI-00559
1,1,1,9130,1,132.0,143.9,1,0,1,1,0,20,0,5,2,11.0,5,3,12.666666666666666,JJI-00562
1,1,6,9147,1,121.0,116.8,0,0,1,1,0,20,0,5,3,12.4,5,5,10.833333333333334,JJI-00574
1,39,2,9991,0,172.0,150.0,1,0,1,0,1,28,0,5,5,10.6,5,5,10.2,JJI-00578
1,17,1,9670,1,141.0,128.8,1,0,1,0,0,19,0,6,6,14.833333333333334,6,6,13.285714285714286,JJI-00583
1,1,1,9500,1,133.0,126.7,0,0,1,0,0,19,0,7,4,12.45,7,5,11.7,JJI-00592
1,17,1,9670,1,155.0,134.7,1,0,1,0,0,20,0,6,5,13.4,6,4,13.0,JJI-00594
1,17,1,9003,1,119.0,113.2,0,1,1,0,0,20,0,6,6,13.333333333333334,6,5,14.0,JJI-00595
1,43,3,9500,1,126.0,124.3,1,0,1,0,1,18,0,7,5,11.98,7,5,11.98,JJI-00610
1,17,3,9147,1,118.0,118.0,0,0,1,0,0,20,0,5,4,11.0,5,5,13.2,JJI-00614
1,44,1,9085,1,140.0,140.0,1,0,1,0,0,19,0,6,5,12.666666666666666,6,4,11.75,JJI-00620
1,1,2,9853,1,117.0,109.7,1,0,1,0,0,19,0,6,5,12.2,6,4,13.0,JJI-00632
1,39,1,9991,0,120.0,123.2,0,0,1,0,0,27,0,5,3,10.666666666666666,5,4,11.4,JJI-00638
1,1,6,9147,1,128.0,116.5,0,0,1,0,0,18,0,5,3,11.666666666666666,5,2,11.0,JJI-00642
1,1,1,9147,1,129.0,121.0,1,0,1,0,0,18,0,5,2,10.5,5,3,12.333333333333334,JJI-00643
1,1,3,9500,1,143.0,133.8,1,0,1,0,0,18,0,8,8,14.26875,8,8,14.26875,JJI-00644
1,1,1,9147,1,130.0,131.8,1,0,1,0,1,19,0,5,2,10.5,5,3,13.333333333333334,JJI-00646
1,1,1,9238,1,135.0,121.0,0,0,1,0,0,21,0,6,5,11.2,6,1,10.0,JJI-00647
1,53,1,9085,1,140.0,143.3,1,0,0,0,0,23,0,12,9,13.666666666666666,9,6,13.5,JJI-00652
1,1,4,9238,1,125.0,114.9,1,1,1,0,1,19,0,6,5,11.4,6,3,10.0,JJI-00656
1,1,1,9238,1,135.0,121.0,0,1,1,0,0,18,0,6,5,10.6,6,2,10.0,JJI-00657
1,1,1,9500,1,117.0,117.4,1,0,1,0,0,19,0,7,5,11.8,7,6,11.708333333333334,JJI-00662
1,1,1,9853,1,133.0,126.7,1,0,1,0,0,18,0,6,5,11.833333333333334,6,4,12.0,JJI-00678
1,1,1,9254,1,140.0,130.0,0,0,1,1,0,21,0,6,6,12.571428571428571,6,4,13.0,JJI-00693
1,1,1,9254,1,154.0,137.2,0,0,1,1,0,20,0,6,3,10.0,6,5,10.8,JJI-00698
1,44,1,9085,1,130.0,130.0,0,0,0,1,0,20,0,6,5,13.2,6,3,12.0,JJI-00701
2,42,1,9991,0,123.0,123.0,0,0,1,1,0,37,0,5,5,15.8,5,5,17.6,JJI-00719
1,43,1,9670,1,142.0,138.5,1,0,1,1,0,18,0,6,5,13.8,6,5,12.4,JJI-00720
1,1,1,9254,1,115.0,113.6,0,0,1,1,0,23,0,6,6,13.0,6,6,12.0,JJI-00722
1,43,1,9670,1,141.0,133.3,1,0,1,1,0,18,0,6,4,13.75,6,5,11.2,JJI-00730
1,43,1,9773,1,140.0,116.9,0,0,1,1,0,32,0,11,7,11.285714285714286,7,6,12.333333333333334,JJI-00737
1,1,1,171,1,137.0,146.5,1,1,1,1,0,19,0,12,11,12.0,11,10,11.181818181818182,JJI-00739
1,5,1,171,1,137.0,144.7,1,0,1,1,0,20,0,0,0,0.0,0,0,0.0,JJI-00762
1,15,1,9147,1,133.1,100.0,0,1,1,1,0,40,1,5,1,11.0,5,1,10.0,JJI-00764
1,1,4,9147,1,120.0,111.3,0,0,1,1,0,20,0,5,5,10.2,5,5,11.2,JJI-00766
1,44,1,9130,1,150.0,150.0,1,0,1,0,0,20,0,5,4,12.0,5,4,12.4,JJI-00767
1,1,3,9500,1,136.0,131.1,1,0,1,0,0,19,0,7,6,13.411428571428573,8,7,13.294444444444444,JJI-00773
1,1,1,9085,1,126.0,123.9,1,0,1,0,0,19,0,6,4,11.8,6,4,12.2,JJI-00775
1,17,1,9853,1,119.0,110.6,0,0,1,0,0,20,0,7,6,11.833333333333334,7,6,14.333333333333334,JJI-00779
1,1,3,9500,1,154.0,129.0,1,0,1,0,0,18,0,8,6,13.345,8,6,13.345,JJI-00784
1,1,1,9853,1,127.0,137.2,1,0,1,0,0,18,0,6,6,12.166666666666666,6,4,12.75,JJI-00800
1,53,1,9070,1,130.0,130.0,1,0,0,0,1,22,0,6,6,11.0,6,4,12.0,JJI-00801
1,17,2,9147,1,118.0,113.5,1,1,1,0,0,20,0,5,2,11.5,5,3,10.0,JJI-00806
1,1,1,9130,1,143.0,141.3,0,1,0,0,0,23,0,6,6,14.0,6,4,13.0,JJI-00808
1,1,5,9070,1,123.0,121.3,1,0,1,0,0,20,0,6,6,11.166666666666666,6,6,11.5,JJI-00810
1,51,1,9147,1,130.0,120.0,0,0,1,0,0,21,0,5,5,12.8,5,3,12.666666666666666,JJI-00816
1,17,1,9070,1,136.0,130.8,0,0,1,0,0,20,0,6,6,12.5,6,6,11.5,JJI-00817
1,17,2,9500,1,132.0,125.4,1,0,0,0,1,20,0,7,7,13.462857142857144,8,7,13.164285714285716,JJI-00819
1,1,1,9085,1,140.0,131.6,1,0,1,0,0,20,1,7,6,14.714285714285714,7,6,13.2,JJI-00823
1,43,1,9130,1,120.0,120.0,0,1,1,0,0,21,1,5,5,13.2,5,2,12.5,JJI-00833
1,1,3,9119,1,133.0,121.8,1,0,1,1,0,18,0,5,4,12.0,5,2,11.0,JJI-00836
1,51,1,9556,1,131.0,126.6,1,0,1,1,0,23,0,7,5,12.414285714285713,7,2,13.5,JJI-00838
1,17,1,9147,1,116.0,115.7,0,0,0,1,0,22,0,5,4,11.5,5,4,14.0,JJI-00842
1,1,1,9085,1,122.0,113.3,1,0,1,0,0,18,0,5,4,14.25,5,5,12.714285714285714,JJI-00849
1,5,2,9853,1,122.0,112.6,1,0,1,0,0,22,0,6,5,12.6,6,4,11.25,JJI-00852
1,17,4,9119,1,127.0,120.4,1,1,0,1,0,18,0,5,0,0.0,5,0,0.0,JJI-00855
1,1,1,9556,1,135.0,131.5,0,0,1,1,1,21,0,7,5,11.2,8,6,11.583333333333334,JJI-00874
1,1,1,9254,1,112.0,113.8,1,0,1,0,0,21,0,6,6,10.833333333333334,6,4,11.0,JJI-00899
1,17,5,9238,1,130.0,130.0,1,0,1,0,0,20,0,6,4,11.25,6,3,10.0,JJI-00909
4,39,1,9991,0,120.0,110.0,0,0,1,0,0,37,0,5,2,10.0,5,3,11.333333333333334,JJI-00925
2,39,1,8014,0,133.1,100.0,0,1,1,0,0,37,0,8,7,11.375,7,6,12.166666666666666,JJI-00928
1,39,1,9085,1,140.0,129.3,1,1,1,0,0,28,0,6,0,0.0,6,0,0.0,JJI-00929
1,1,5,9147,1,125.0,122.2,1,0,1,0,0,18,0,5,1,11.0,5,2,12.5,JJI-00931
1,39,1,9500,1,100.0,121.3,1,0,1,0,0,34,0,8,7,11.705714285714285,8,7,11.705714285714285,JJI-00935
1,44,1,9991,0,150.0,150.0,0,0,1,0,0,31,0,6,6,12.0,7,7,13.428571428571429,JJI-00938
1,1,1,9773,1,145.0,131.7,1,0,1,0,0,18,0,6,6,12.666666666666666,6,4,12.25,JJI-00939
2,39,1,9238,1,133.1,130.0,1,0,1,0,0,31,0,6,0,0.0,5,0,0.0,JJI-00943
1,1,2,9119,1,149.0,141.0,0,0,1,1,0,18,0,5,2,11.666666666666666,5,2,12.5,JJI-00964
1,39,1,9119,1,150.0,120.0,0,0,1,1,0,24,0,5,3,10.666666666666666,5,2,10.5,JJI-00970
1,17,3,9119,1,120.0,116.9,1,1,0,1,0,18,0,5,3,12.0,5,3,10.333333333333334,JJI-00976
2,39,1,9991,0,100.0,113.0,0,0,1,1,1,41,0,5,4,11.0,5,5,11.4,JJI-00982
2,39,1,9991,0,130.0,145.6,0,0,1,1,0,34,0,5,4,11.75,5,4,10.833333333333334,JJI-00984
1,1,3,9500,1,113.0,107.8,1,0,1,0,1,20,0,7,5,14.46,7,6,13.55,JJI-00997
1,44,1,9085,1,130.0,130.0,1,0,1,0,0,22,1,6,5,12.8,6,2,11.5,JJI-00998
1,1,1,9853,1,120.0,115.1,0,0,1,0,1,18,0,6,4,12.0,6,4,10.75,JJI-01032
1,1,3,9070,1,125.0,118.0,0,0,1,0,1,18,0,6,6,14.333333333333334,6,6,14.0,JJI-01036
1,1,1,9853,1,124.0,121.6,0,0,1,0,0,18,0,6,5,12.333333333333334,6,5,10.6,JJI-01040
1,1,1,9853,1,163.0,146.6,1,1,1,0,0,18,0,6,5,13.6,6,4,11.75,JJI-01065
1,1,1,9853,1,145.0,142.2,0,0,1,0,0,19,0,6,4,12.5,6,5,12.5,JJI-01073
1,51,1,9070,1,117.0,120.0,1,0,1,0,0,21,0,6,5,12.2,6,4,12.6,JJI-01083
1,17,2,9853,1,114.0,108.8,1,0,1,0,0,18,0,7,5,11.4,7,6,13.333333333333334,JJI-01089
1,43,1,171,1,133.0,133.0,0,0,1,0,0,18,0,0,0,0.0,0,0,0.0,JJI-01090
1,1,2,9853,1,121.0,120.0,1,0,1,0,0,18,0,6,3,12.0,6,4,10.25,JJI-01103
1,43,1,9147,1,123.0,113.2,0,0,1,0,0,21,0,10,6,11.166666666666666,10,7,10.571428571428571,JJI-01104
1,1,2,9500,1,113.0,106.7,1,0,1,0,1,20,0,7,5,12.62,7,6,12.5,JJI-01113
1,39,1,9991,0,120.0,140.0,0,0,1,0,0,25,0,5,3,10.666666666666666,5,3,11.333333333333334,JJI-01114
1,39,2,9556,1,130.0,159.0,1,0,1,0,0,25,0,7,7,11.857142857142858,8,5,11.7,JJI-01119
1,39,1,9238,1,170.0,140.0,1,0,1,0,0,24,0,6,4,15.75,6,5,16.4,JJI-01121
1,1,1,9147,1,138.0,131.0,1,0,1,0,0,19,0,5,4,11.0,5,3,10.666666666666666,JJI-01133
1,17,6,9147,1,121.0,123.8,0,0,1,0,1,19,0,5,5,12.4,5,3,11.0,JJI-01142
1,16,2,9147,1,132.0,122.6,1,0,1,0,1,20,0,5,3,12.0,5,4,12.625,JJI-01145
1,1,1,171,1,131.0,132.8,1,0,1,0,0,18,0,0,0,0.0,0,0,0.0,JJI-01147
1,18,2,9853,1,120.0,115.8,0,0,1,0,0,18,0,7,6,12.0,7,6,12.166666666666666,JJI-01149
1,17,3,9147,1,112.0,107.8,1,0,1,0,0,19,0,5,3,10.333333333333334,5,3,14.428571428571429,JJI-01153
1,1,1,9500,1,138.0,127.5,1,0,1,0,0,19,0,7,5,12.94,7,5,13.76,JJI-01154
1,1,1,9147,1,118.0,117.3,1,0,1,0,0,19,0,5,4,12.25,5,4,12.0,JJI-01156
4,7,1,9500,1,130.0,130.0,1,0,1,0,0,32,0,7,4,13.625,7,7,12.6375,JJI-01162
1,39,1,9991,0,130.0,115.2,0,0,1,1,0,24,0,5,4,12.0,5,5,12.666666666666666,JJI-01174
1,1,2,9500,1,133.1,96.0,1,0,1,0,0,19,0,7,6,13.598333333333334,8,6,11.933333333333332,JJI-01185
2,7,1,9500,1,120.0,120.0,1,0,1,0,0,45,0,11,11,12.7,10,10,12.96818181818182,JJI-01187
1,17,1,9853,1,125.0,128.5,1,0,1,0,0,18,0,7,6,11.5,7,7,12.714285714285714,JJI-01196
2,39,1,9003,1,133.1,120.0,0,1,1,0,0,37,0,6,6,12.875,6,6,12.9,JJI-01208
1,17,1,9238,1,123.0,113.2,0,0,1,0,1,20,0,6,4,10.75,6,5,11.5,JJI-01212
1,1,4,9500,1,126.0,121.3,1,0,1,0,1,18,0,7,6,13.533333333333331,7,7,12.228571428571428,JJI-01215
1,53,1,9085,1,140.0,140.0,1,1,1,0,0,21,0,9,8,13.25,9,5,12.2,JJI-01230
1,39,1,9119,1,133.1,100.0,0,0,1,1,0,25,0,5,1,11.0,5,1,10.0,JJI-01243
1,53,1,9670,1,140.0,140.0,1,1,1,0,0,21,0,6,1,12.0,6,1,11.0,JJI-01249
1,43,1,9085,1,170.0,170.0,1,0,1,0,0,19,0,5,0,0.0,5,4,14.75,JJI-01255
1,53,1,9991,0,140.0,135.0,0,1,1,0,0,23,0,11,8,12.375,9,5,12.6,JJI-01269
1,17,1,9773,1,121.0,113.7,0,0,1,0,0,18,0,6,5,12.6,6,6,12.428571428571429,JJI-01271
1,39,1,8014,0,133.1,116.5,0,0,1,1,1,24,0,6,4,12.25,6,4,11.5,JJI-01279
1,1,2,9070,1,129.0,132.9,1,0,1,1,1,20,0,6,6,11.375,6,5,13.8,JJI-01287
1,17,2,9119,1,120.0,117.2,0,0,1,1,1,18,0,5,4,13.5,6,6,13.625,JJI-01291
1,18,1,9254,1,118.0,123.3,1,0,1,1,0,26,0,6,4,10.0,6,3,12.0,JJI-01300
1,1,1,9670,1,127.0,118.3,1,0,1,0,0,18,0,6,6,12.333333333333334,6,3,12.0,JJI-01315
1,17,2,9085,1,123.0,113.6,1,0,1,0,0,19,0,5,3,12.0,5,4,11.75,JJI-01317
1,1,2,9853,1,123.0,115.3,1,0,1,0,0,20,0,7,6,13.5,7,6,14.0,JJI-01322
1,17,3,9147,1,125.0,118.7,1,0,1,0,0,18,0,5,4,10.666666666666666,5,2,12.0,JJI-01325
1,1,1,9085,1,101.0,98.9,1,0,1,0,0,21,0,6,4,12.5,6,2,12.666666666666666,JJI-01327
1,1,1,9085,1,120.0,113.4,0,0,1,0,0,18,0,6,4,11.5,6,3,13.75,JJI-01330
1,1,1,9238,1,107.0,103.5,1,0,1,0,0,20,0,6,3,11.2,6,4,12.0,JJI-01334
1,17,2,9853,1,126.0,126.0,1,0,1,0,0,19,0,6,5,13.0,6,5,10.4,JJI-01336
1,39,1,9500,1,133.1,121.7,0,0,1,0,1,27,0,7,6,12.6,7,6,11.685714285714283,JJI-01337
1,17,1,9147,1,147.0,142.8,1,1,0,0,1,19,0,5,5,12.8,5,4,12.0,JJI-01338
1,1,3,9500,1,128.0,120.5,1,0,1,0,1,19,0,7,5,13.04,7,7,12.5,JJI-01348
1,53,1,9085,1,140.0,144.9,1,1,0,0,0,23,0,11,11,13.166666666666666,9,8,13.333333333333334,JJI-01349
1,1,1,9238,1,108.0,105.9,0,0,1,0,1,20,0,6,5,10.6,6,5,11.166666666666666,JJI-01355
1,1,1,9085,1,132.0,124.3,0,0,1,0,0,20,0,6,6,13.428571428571429,6,5,12.666666666666666,JJI-01356
1,17,1,9147,1,136.0,122.7,1,0,1,1,0,18,0,5,5,12.0,5,4,12.5,JJI-01377
1,1,2,9085,1,118.0,112.4,1,0,1,1,0,21,0,5,4,11.5,5,3,10.6,JJI-01390
1,1,1,9130,1,133.1,138.0,1,0,1,0,0,20,0,6,6,13.333333333333334,6,6,13.0,JJI-01397
1,1,2,171,1,140.0,138.3,1,0,1,0,0,18,0,0,0,0.0,0,0,0.0,JJI-01401
