student_id,program_studi,jalur_masuk,kelompok_usia,status_keuangan,ukt_lunas,menunggak,penerima_beasiswa,rasio_kelulusan,rata_rata_nilai,tren_kelulusan,risk_score,risk_band
JJI-03336,Jurnalistik & Komunikasi,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0833,5.0,0.1667,99.1,Sangat Tinggi
JJI-00970,Teknik Informatika,Jalur Usia >23 Tahun,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,10.5833,-0.2,99.1,Sangat Tinggi
JJI-00559,Pariwisata,Pemegang Ijazah/Diploma Lain,23-25,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.5,11.0833,0.0,99.1,Sangat Tinggi
JJI-02922,Pekerjaan Sosial (kelas malam),Jalur Usia >23 Tahun,31-40,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.3333,6.625,-0.6667,99.1,Sangat Tinggi
JJI-00359,Agronomi,Jalur Usia >23 Tahun,26-30,Perlu perhatian (1 masalah),Ya,Ya,Ya,0.0,0.0,0.0,99.0,Sangat Tinggi
JJI-04382,Pekerjaan Sosial,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0,0.0,0.0,99.0,Sangat Tinggi
JJI-02679,Agronomi,Pemegang Ijazah/Diploma Lain,26-30,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.0,0.0,0.0,99.0,Sangat Tinggi
JJI-01770,Manajemen,Pindahan / Ganti Program,31-40,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.4,11.1667,-0.0536,99.0,Sangat Tinggi
JJI-01714,Keperawatan Hewan,Pemegang Ijazah/Diploma Lain,23-25,Bermasalah (menunggak & UKT tertunggak),Tidak,Ya,Tidak,0.5,12.0,-0.3333,98.9,Sangat Tinggi
JJI-02385,Teknik Informatika,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4,5.75,-0.8,98.9,Sangat Tinggi
JJI-00428,Manajemen,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,11.0,-0.2,98.8,Sangat Tinggi
JJI-02301,Teknik Informatika,Pemegang Ijazah/Diploma Lain,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.3077,14.0,-0.2619,98.7,Sangat Tinggi
JJI-03574,Teknik Informatika,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0,0.0,0.0,98.7,Sangat Tinggi
JJI-02717,Kesehatan Gigi,Jalur Usia >23 Tahun,26-30,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,0.0,0.0,0.0,98.7,Sangat Tinggi
JJI-02726,Pengelolaan Kuda (Equinculture),Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.3,10.75,0.2,98.7,Sangat Tinggi
JJI-03934,Manajemen,Seleksi Reguler,17-19,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.3,10.0,0.2,98.7,Sangat Tinggi
JJI-02364,Teknik Informatika,Pemegang Ijazah/Diploma Lain,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.2,5.8333,0.4,98.7,Sangat Tinggi
JJI-04312,Teknik Informatika,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.1,5.0,0.2,98.6,Sangat Tinggi
JJI-04025,Kesehatan Gigi,Mahasiswa Internasional,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.1429,5.8333,0.2857,98.4,Sangat Tinggi
JJI-01962,Keperawatan,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,0.0,0.0,0.0,98.4,Sangat Tinggi
JJI-00071,Manajemen,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.0,0.0,0.0,98.4,Sangat Tinggi
JJI-00167,Agronomi,Jalur Usia >23 Tahun,41+,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.0,0.0,0.0,98.4,Sangat Tinggi
JJI-02185,Pekerjaan Sosial,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.25,11.0,0.1667,98.3,Sangat Tinggi
JJI-00017,Pekerjaan Sosial,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.25,11.5,0.1667,98.3,Sangat Tinggi
JJI-01459,Manajemen Periklanan & Pemasaran,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4167,11.25,-0.5,98.2,Sangat Tinggi
JJI-04336,Manajemen,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,11.5833,-0.2,98.1,Sangat Tinggi
JJI-01718,Keperawatan,Jalur Usia >23 Tahun,31-40,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,0.125,10.0,0.0,98.1,Sangat Tinggi
JJI-01828,Keperawatan Hewan,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,10.9167,-0.2,98.1,Sangat Tinggi
JJI-03633,Pekerjaan Sosial,Pemegang Ijazah/Diploma Lain,20-22,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.4167,12.25,-0.1667,98.1,Sangat Tinggi
JJI-02834,Manajemen Periklanan & Pemasaran,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,11.5,-0.2,98.0,Sangat Tinggi
JJI-01885,Keperawatan,Jalur Usia >23 Tahun,41+,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,11.7375,-0.1429,98.0,Sangat Tinggi
JJI-03561,Keperawatan,Jalur Usia >23 Tahun,31-40,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.3571,6.53,-0.7143,98.0,Sangat Tinggi
JJI-01569,Kesehatan Gigi,Mahasiswa Internasional,17-19,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.1429,5.8333,0.2857,97.8,Sangat Tinggi
JJI-01681,Teknik Informatika,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,12.3333,-0.2,97.8,Sangat Tinggi
JJI-03545,Manajemen (kelas malam),Jalur Usia >23 Tahun,31-40,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,10.9167,0.2,97.7,Sangat Tinggi
JJI-03626,Pekerjaan Sosial,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.1667,11.5,0.0,97.7,Sangat Tinggi
JJI-01754,Teknik Informatika,Pemegang Ijazah/Diploma Lain,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.2,5.25,0.4,97.5,Sangat Tinggi
JJI-03968,Keperawatan,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,0.0,0.0,0.0,97.5,Sangat Tinggi
JJI-00402,Pariwisata,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,10.3333,0.0,97.5,Sangat Tinggi
JJI-00064,Desain Komunikasi,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,10.7,-0.6667,97.5,Sangat Tinggi
JJI-04407,Desain Komunikasi,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,11.6667,-0.3333,97.5,Sangat Tinggi
JJI-00033,Manajemen,Seleksi Reguler,17-19,Perlu perhatian (1 masalah),Tidak,Tidak,Tidak,0.5,12.4167,-0.2,97.5,Sangat Tinggi
JJI-00642,Manajemen,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,11.3333,-0.2,97.4,Sangat Tinggi
JJI-02248,Keperawatan,Pindahan / Ganti Program,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,0.0,0.0,0.0,97.3,Sangat Tinggi
JJI-03780,Kesehatan Gigi,Pindahan / Ganti Program,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4,12.3333,-0.0536,97.2,Sangat Tinggi
JJI-02458,Manajemen,Seleksi Reguler,26-30,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4,11.5,-0.4,97.2,Sangat Tinggi
JJI-01558,Manajemen,Seleksi Reguler,17-19,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.0,0.0,0.0,97.1,Sangat Tinggi
JJI-00391,Keperawatan Hewan,Pemegang Ijazah/Diploma Lain,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4167,11.875,-0.5,96.9,Sangat Tinggi
JJI-03825,Teknik Informatika,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.1,7.5,0.2,96.9,Sangat Tinggi
JJI-00527,Teknik Informatika,Jalur Usia >23 Tahun,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4,11.25,0.4,96.9,Sangat Tinggi
JJI-01897,Keperawatan Hewan,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,11.75,-0.3333,96.8,Sangat Tinggi
JJI-00647,Pekerjaan Sosial,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,10.6,-0.6667,96.7,Sangat Tinggi
JJI-00976,Teknik Informatika,Seleksi Reguler,17-19,Bermasalah (menunggak & UKT tertunggak),Tidak,Ya,Tidak,0.6,11.1667,0.0,96.6,Sangat Tinggi
JJI-02396,Jurnalistik & Komunikasi,Pindahan / Ganti Program,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,11.8333,0.0,96.5,Sangat Tinggi
JJI-00838,Kesehatan Gigi,Pindahan / Ganti Program,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,12.9571,-0.4286,96.4,Sangat Tinggi
JJI-02845,Manajemen (kelas malam),Jalur Usia >23 Tahun,41+,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,10.75,0.2,96.3,Sangat Tinggi
JJI-00931,Manajemen,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.3,11.75,0.2,96.3,Sangat Tinggi
JJI-00806,Manajemen,Seleksi Reguler,20-22,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.5,10.75,0.2,96.2,Sangat Tinggi
JJI-03716,Manajemen,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4,13.4167,0.0,96.1,Sangat Tinggi
JJI-03938,Pariwisata,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,11.75,-0.3333,96.1,Sangat Tinggi
JJI-00925,Manajemen (kelas malam),Jalur Usia >23 Tahun,31-40,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,10.6667,0.2,96.1,Sangat Tinggi
JJI-02237,Pariwisata,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,12.875,-0.3333,96.0,Sangat Tinggi
JJI-03160,Desain Komunikasi,Pindahan / Ganti Program,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,0.4167,11.1667,-0.1667,95.9,Sangat Tinggi
JJI-01896,Desain Komunikasi,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4167,10.75,0.1667,95.9,Sangat Tinggi
JJI-04173,Manajemen,Pindahan / Ganti Program,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.2,14.0,0.0,95.9,Sangat Tinggi
JJI-02689,Teknik Informatika,Seleksi Reguler,20-22,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.0,0.0,0.0,95.9,Sangat Tinggi
JJI-02489,Manajemen,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,12.5833,-0.2,95.9,Sangat Tinggi
JJI-04414,Teknologi Produksi Biofuel,Pindahan / Ganti Program,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.3889,12.3,-0.25,95.8,Sangat Tinggi
JJI-03344,Teknik Informatika,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.3,11.5,0.2,95.7,Sangat Tinggi
JJI-01531,Agronomi,Jalur Usia >23 Tahun,31-40,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4167,13.0,0.1667,95.6,Sangat Tinggi
JJI-03524,Manajemen Periklanan & Pemasaran,Pindahan / Ganti Program,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,10.1667,0.2,95.6,Sangat Tinggi
JJI-00441,Kesehatan Gigi,Pindahan / Ganti Program,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.1667,8.0,0.25,95.5,Sangat Tinggi
JJI-00909,Pekerjaan Sosial,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5833,10.625,-0.1667,95.5,Sangat Tinggi
JJI-00964,Teknik Informatika,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4,12.0833,0.0,95.5,Sangat Tinggi
JJI-01784,Manajemen,Seleksi Reguler,17-19,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.6,11.5,-0.4,95.5,Sangat Tinggi
JJI-01300,Pariwisata,Seleksi Reguler,26-30,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5833,11.0,-0.1667,95.5,Sangat Tinggi
JJI-01437,Teknik Informatika,Mahasiswa Internasional,17-19,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.3636,12.25,0.0667,95.4,Sangat Tinggi
JJI-03367,Manajemen (kelas malam),Seleksi Reguler,26-30,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,11.75,0.2,95.3,Sangat Tinggi
JJI-00442,Pengelolaan Kuda (Equinculture),Pindahan / Ganti Program,17-19,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.4,12.0,0.4,95.3,Sangat Tinggi
JJI-02841,Keperawatan Hewan,Jalur Usia >23 Tahun,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,0.4167,11.5,-0.1667,95.1,Sangat Tinggi
JJI-04148,Keperawatan Hewan,Jalur Usia >23 Tahun,41+,Perlu perhatian (1 masalah),Tidak,Tidak,Ya,0.5,11.375,-0.3333,94.9,Sangat Tinggi
JJI-04181,Pendidikan Dasar,Seleksi Reguler,17-19,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.5833,12.0833,-0.1667,94.9,Sangat Tinggi
JJI-02820,Jurnalistik & Komunikasi,Pindahan / Ganti Program,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.25,5.5,0.5,94.8,Sangat Tinggi
JJI-02555,Teknik Informatika,Seleksi Reguler,17-19,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.6,11.0,0.0,94.8,Sangat Tinggi
JJI-00506,Keperawatan,Jalur Usia >23 Tahun,26-30,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,13.2625,-0.1429,94.7,Sangat Tinggi
JJI-02930,Keperawatan,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.125,13.67,0.0,94.7,Sangat Tinggi
JJI-02516,Teknik Informatika,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,12.125,-0.6,94.5,Sangat Tinggi
JJI-03052,Manajemen,Pindahan / Ganti Program,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,11.1786,0.2,94.5,Sangat Tinggi
JJI-00383,Pekerjaan Sosial,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,10.3333,0.0,94.4,Sangat Tinggi
JJI-00657,Pekerjaan Sosial,Seleksi Reguler,17-19,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.5833,10.3,-0.5,94.3,Sangat Tinggi
JJI-01327,Keperawatan Hewan,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,12.5833,-0.3333,94.3,Sangat Tinggi
JJI-02471,Pengelolaan Kuda (Equinculture),Pemegang Ijazah/Diploma Lain,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5833,11.3,-0.5,94.2,Sangat Tinggi
JJI-01593,Manajemen,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.6,10.9167,-0.4,94.1,Sangat Tinggi
JJI-03779,Keperawatan Hewan,Pemegang Ijazah/Diploma Lain,23-25,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,13.45,-0.3333,94.0,Sangat Tinggi
JJI-04236,Pekerjaan Sosial,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5833,11.125,-0.1667,93.9,Sangat Tinggi
JJI-00836,Teknik Informatika,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.6,11.5,-0.4,93.8,Sangat Tinggi
JJI-02289,Teknik Informatika,Pindahan / Ganti Program,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.6,11.65,-0.4,93.7,Sangat Tinggi
JJI-02734,Pekerjaan Sosial,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4167,11.8333,0.1667,93.7,Sangat Tinggi
JJI-03611,Teknik Informatika,Pemegang Ijazah/Diploma Lain,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,12.05,0.2,93.7,Sangat Tinggi
JJI-03698,Pariwisata,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5833,10.65,-0.5,93.6,Sangat Tinggi
JJI-03842,Pekerjaan Sosial,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5833,11.5417,-0.1667,93.5,Sangat Tinggi
JJI-03329,Teknik Informatika,Jalur Usia >23 Tahun,31-40,Perlu perhatian (1 masalah),Ya,Ya,Ya,0.3,14.0,0.2,93.3,Sangat Tinggi
JJI-00701,Keperawatan Hewan,Pemegang Ijazah/Diploma Lain,20-22,Perlu perhatian (1 masalah),Tidak,Tidak,Tidak,0.6667,12.6,-0.3333,93.3,Sangat Tinggi
JJI-02556,Teknik Informatika,Seleksi Reguler,17-19,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.6,10.5,-0.4,93.2,Sangat Tinggi
JJI-03690,Pengelolaan Kuda (Equinculture),Pindahan / Ganti Program,31-40,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.4,13.5,0.4,93.2,Sangat Tinggi
JJI-02602,Pariwisata,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5833,11.7917,-0.1667,93.1,Sangat Tinggi
JJI-04337,Jurnalistik & Komunikasi,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.1667,17.0,0.0,92.9,Sangat Tinggi
JJI-01475,Teknik Informatika,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.6,12.25,-0.4,92.6,Sangat Tinggi
JJI-01969,Pendidikan Dasar,Seleksi Reguler,17-19,Perlu perhatian (1 masalah),Ya,Ya,Tidak,0.5833,11.9583,-0.1667,92.5,Sangat Tinggi
JJI-03821,Agronomi,Pemegang Ijazah/Diploma Lain,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5833,12.25,-0.5,92.4,Sangat Tinggi
JJI-03597,Agronomi,Pemegang Ijazah/Diploma Lain,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5,13.0417,0.0,92.3,Sangat Tinggi
JJI-04171,Pendidikan Dasar,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5833,12.0417,-0.1667,92.3,Sangat Tinggi
JJI-03738,Pariwisata,Seleksi Reguler,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.5833,11.4167,-0.5,92.3,Sangat Tinggi
JJI-02208,Manajemen,Pindahan / Ganti Program,20-22,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,0.3,6.6667,0.6,92.2,Sangat Tinggi
