student_id,status,is_dropout,risk_score,risk_band,is_flagged,sumber_skor,program_studi,jalur_masuk,jalur_masuk_detail,waktu_kuliah,jenis_kelamin,status_pernikahan,kelompok_usia,usia_saat_daftar,band_nilai_masuk,nilai_masuk,status_keuangan,ukt_lunas,menunggak,penerima_beasiswa,perantau,mahasiswa_internasional,band_kelulusan_sks,band_nilai_semester,rasio_kelulusan,rata_rata_nilai,tren_kelulusan,total_mk_lulus,mk_lulus_sem1,mk_lulus_sem2,nilai_sem1,nilai_sem2
JJI-00011,Graduate,0,18.0,Rendah,0,out-of-fold (data berlabel),Manajemen Periklanan & Pemasaran,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,18,130-140,130.6,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,0.9167,13.2667,-0.1667,11,6,5,12.3333,14.2
JJI-00012,Graduate,0,1.8,Rendah,0,out-of-fold (data berlabel),Keperawatan,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,18,<120,119.3,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Ya,Tidak,81-100%,12-14,0.875,13.2143,0.0,14,7,7,13.2143,13.2143
JJI-00013,Dropout,1,99.5,Sangat Tinggi,1,out-of-fold (data berlabel),Pendidikan Dasar,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,19,130-140,130.2,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,0% (tidak lulus satu pun),Tanpa nilai,0.0,0.0,0.0,0,0,0,0.0,0.0
JJI-00014,Graduate,0,27.5,Sedang,0,out-of-fold (data berlabel),Pariwisata,Pemegang Ijazah/Diploma Lain,Pemegang diploma siklus pendek,Kelas Siang,Perempuan,Lajang,20-22,21,<120,111.8,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Ya,Tidak,81-100%,10-12,0.9167,10.7857,-0.1667,11,6,5,10.5714,11.0
JJI-00015,Graduate,0,10.9,Rendah,0,out-of-fold (data berlabel),Keperawatan Hewan,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,18,130-140,137.1,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Ya,Tidak,81-100%,12-14,0.9,12.625,0.2,9,4,5,13.25,12.0
JJI-00016,Dropout,1,98.7,Sangat Tinggi,1,out-of-fold (data berlabel),Jurnalistik & Komunikasi,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,20-22,20,120-130,120.7,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,1-50%,0-10,0.4167,6.6,-0.8333,5,5,0,13.2,0.0
JJI-00017,Enrolled,,98.3,Sangat Tinggi,1,prediksi (mahasiswa aktif),Pekerjaan Sosial,Seleksi Reguler,Seleksi umum - fase 3,Kelas Siang,Perempuan,Lajang,17-19,18,130-140,137.4,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,1-50%,10-12,0.25,11.5,0.1667,3,1,2,12.0,11.0
JJI-00018,Graduate,0,4.6,Rendah,0,out-of-fold (data berlabel),Keperawatan,Seleksi Reguler,Seleksi umum - fase 2,Kelas Siang,Perempuan,Lajang,17-19,18,120-130,127.3,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,1.0,13.9256,0.0,15,7,8,13.3062,14.545
JJI-00019,Graduate,0,17.6,Rendah,0,out-of-fold (data berlabel),Pengelolaan Kuda (Equinculture),Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,20-22,20,130-140,136.3,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,51-80%,12-14,0.8,12.375,0.0,8,4,4,12.5,12.25
JJI-00020,Enrolled,,18.2,Rendah,0,prediksi (mahasiswa aktif),Pendidikan Dasar,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,18,120-130,124.6,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,0.8571,12.5833,0.0,12,6,6,11.6667,13.5
JJI-00021,Graduate,0,65.6,Sangat Tinggi,1,out-of-fold (data berlabel),Desain Animasi & Multimedia,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,20-22,21,120-130,120.3,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Tidak,Tidak,0% (tidak lulus satu pun),Tanpa nilai,0.0,0.0,0.0,0,0,0,0.0,0.0
JJI-00022,Enrolled,,9.8,Rendah,0,prediksi (mahasiswa aktif),Kesehatan Gigi,Seleksi Reguler,Seleksi umum - fase 3,Kelas Siang,Perempuan,Lajang,20-22,20,120-130,121.8,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,10-12,1.0,11.4312,0.0,15,7,8,11.4375,11.425
JJI-00023,Graduate,0,5.0,Rendah,0,out-of-fold (data berlabel),Keperawatan,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,18,120-130,125.5,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,0.875,12.8571,0.0,14,7,7,12.8571,12.8571
JJI-00024,Graduate,0,6.3,Rendah,0,out-of-fold (data berlabel),Manajemen Periklanan & Pemasaran,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,19,<120,114.9,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Ya,Tidak,81-100%,12-14,1.0,12.8304,0.0,12,6,6,13.375,12.2857
JJI-00025,Graduate,0,10.6,Rendah,0,out-of-fold (data berlabel),Keperawatan,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,19,120-130,123.9,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,81-100%,12-14,0.8667,13.7055,0.0179,13,6,7,13.2967,14.1143
JJI-00026,Enrolled,,56.5,Tinggi,1,prediksi (mahasiswa aktif),Pekerjaan Sosial,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,18,>150,157.0,Perlu perhatian (1 masalah),Ya,Ya,Ya,Ya,Tidak,51-80%,10-12,0.75,11.3,-0.1667,9,5,4,11.6,11.0
JJI-00027,Graduate,0,7.2,Rendah,0,out-of-fold (data berlabel),Pekerjaan Sosial,Seleksi Reguler,Seleksi umum - fase 2,Kelas Siang,Perempuan,Lajang,20-22,21,<120,116.4,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,1.0,12.3304,0.0,12,6,6,11.375,13.2857
JJI-00028,Enrolled,,6.4,Rendah,0,prediksi (mahasiswa aktif),Keperawatan Hewan,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,18,130-140,131.0,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,0.9,12.8333,-0.2,9,5,4,12.6667,13.0
JJI-00029,Graduate,0,3.4,Rendah,0,out-of-fold (data berlabel),Manajemen,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,20-22,20,120-130,122.1,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,1.0,12.1667,0.0,10,5,5,12.0,12.3333
JJI-00030,Enrolled,,12.5,Rendah,0,prediksi (mahasiswa aktif),Keperawatan,Seleksi Reguler,Seleksi umum - fase 2,Kelas Siang,Laki-laki,Lajang,17-19,19,<120,118.8,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,0.8571,13.325,0.0,12,6,6,12.9333,13.7167
JJI-00031,Enrolled,,41.6,Tinggi,1,prediksi (mahasiswa aktif),Agronomi,Pemegang Ijazah/Diploma Lain,Pemegang diploma spesialisasi teknologi,Kelas Siang,Laki-laki,Lajang,20-22,21,140-150,150.0,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,81-100%,10-12,0.8333,11.2143,0.0,10,5,5,11.8571,10.5714
JJI-00032,Graduate,0,33.1,Sedang,0,out-of-fold (data berlabel),Desain Komunikasi,Pindahan / Ganti Program,Pindah institusi/program studi,Kelas Siang,Laki-laki,Lajang,20-22,20,120-130,130.0,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,0.8333,13.1167,-0.3333,10,6,4,12.8333,13.4
JJI-00033,Enrolled,,97.5,Sangat Tinggi,1,prediksi (mahasiswa aktif),Manajemen,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Laki-laki,Lajang,17-19,18,130-140,138.8,Perlu perhatian (1 masalah),Tidak,Tidak,Tidak,Tidak,Tidak,1-50%,12-14,0.5,12.4167,-0.2,5,3,2,11.3333,13.5
JJI-00034,Graduate,0,7.0,Rendah,0,out-of-fold (data berlabel),Pekerjaan Sosial (kelas malam),Seleksi Reguler,Seleksi umum - fase 3,Kelas Malam,Perempuan,Lajang,17-19,19,130-140,134.5,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,1.0,13.5208,0.0,12,6,6,12.6667,14.375
JJI-00035,Graduate,0,10.4,Rendah,0,out-of-fold (data berlabel),Manajemen (kelas malam),Seleksi Reguler,Seleksi umum - fase 1,Kelas Malam,Laki-laki,Lajang,31-40,34,130-140,131.4,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,81-100%,12-14,1.0,12.9143,0.0,10,5,5,12.4,13.4286
JJI-00036,Dropout,1,99.8,Sangat Tinggi,1,out-of-fold (data berlabel),Teknologi Produksi Biofuel,Jalur Usia >23 Tahun,Jalur usia di atas 23 tahun,Kelas Siang,Laki-laki,Lajang,31-40,37,<120,102.5,Bermasalah (menunggak & UKT tertunggak),Tidak,Ya,Tidak,Tidak,Tidak,1-50%,0-10,0.0714,5.0,0.1429,1,0,1,0.0,10.0
JJI-00037,Dropout,1,99.9,Sangat Tinggi,1,out-of-fold (data berlabel),Teknik Informatika,Jalur Usia >23 Tahun,Jalur usia di atas 23 tahun,Kelas Siang,Laki-laki,Lajang,41+,43,120-130,128.8,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,0% (tidak lulus satu pun),Tanpa nilai,0.0,0.0,0.0,0,0,0,0.0,0.0
JJI-00038,Dropout,1,98.6,Sangat Tinggi,1,out-of-fold (data berlabel),Manajemen,Pindahan / Ganti Program,Pindah program studi,Kelas Siang,Perempuan,Lajang,41+,55,120-130,122.9,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,1-50%,10-12,0.3,11.0,0.2,3,1,2,10.0,12.0
JJI-00039,Graduate,0,10.6,Rendah,0,out-of-fold (data berlabel),Manajemen (kelas malam),Jalur Usia >23 Tahun,Jalur usia di atas 23 tahun,Kelas Malam,Perempuan,Bercerai,31-40,39,<120,113.9,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,10-12,1.0,11.3,0.0,10,5,5,11.0,11.6
JJI-00040,Dropout,1,98.1,Sangat Tinggi,1,out-of-fold (data berlabel),Pengelolaan Kuda (Equinculture),Pemegang Ijazah/Diploma Lain,Pemegang diploma spesialisasi teknologi,Kelas Siang,Perempuan,Lajang,20-22,20,<120,120.0,Bermasalah (menunggak & UKT tertunggak),Tidak,Ya,Tidak,Tidak,Ya,1-50%,10-12,0.5,11.8333,0.0,6,3,3,11.6667,12.0
JJI-00041,Dropout,1,98.7,Sangat Tinggi,1,out-of-fold (data berlabel),Jurnalistik & Komunikasi,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,18,120-130,121.1,Perlu perhatian (1 masalah),Ya,Ya,Tidak,Tidak,Tidak,1-50%,0-10,0.3636,6.375,-0.6667,4,4,0,12.75,0.0
JJI-00042,Graduate,0,16.1,Rendah,0,out-of-fold (data berlabel),Manajemen,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,20-22,22,120-130,120.4,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,>14,1.0,15.3,0.0,10,5,5,14.8,15.8
JJI-00043,Graduate,0,31.3,Sedang,0,out-of-fold (data berlabel),Keperawatan,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,20-22,22,<120,100.6,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,51-80%,>14,0.8,14.1354,0.1607,12,5,7,13.928,14.3429
JJI-00044,Dropout,1,64.1,Sangat Tinggi,1,out-of-fold (data berlabel),Jurnalistik & Komunikasi,Seleksi Reguler,Seleksi umum - fase 2,Kelas Siang,Perempuan,Lajang,20-22,20,120-130,121.4,Perlu perhatian (1 masalah),Tidak,Tidak,Tidak,Tidak,Tidak,51-80%,12-14,0.75,13.4,0.1667,9,4,5,13.0,13.8
JJI-00045,Dropout,1,100.0,Sangat Tinggi,1,out-of-fold (data berlabel),Manajemen (kelas malam),Jalur Usia >23 Tahun,Jalur usia di atas 23 tahun,Kelas Malam,Perempuan,Lajang,26-30,29,<120,109.7,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,0% (tidak lulus satu pun),Tanpa nilai,0.0,0.0,0.0,0,0,0,0.0,0.0
JJI-00046,Enrolled,,91.8,Sangat Tinggi,1,prediksi (mahasiswa aktif),Manajemen (kelas malam),Seleksi Reguler,Seleksi umum - fase 2,Kelas Malam,Perempuan,Lajang,23-25,24,130-140,134.1,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,1-50%,12-14,0.5,12.9167,0.2,5,2,3,11.5,14.3333
JJI-00047,Graduate,0,16.2,Rendah,0,out-of-fold (data berlabel),Pekerjaan Sosial,Seleksi Reguler,Seleksi umum - fase 2,Kelas Siang,Perempuan,Lajang,17-19,18,120-130,127.6,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,0.9167,12.4333,-0.1667,11,6,5,11.6667,13.2
JJI-00048,Graduate,0,15.2,Rendah,0,out-of-fold (data berlabel),Keperawatan,Seleksi Reguler,Seleksi umum - fase 2,Kelas Siang,Perempuan,Lajang,20-22,22,130-140,132.4,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Ya,Tidak,81-100%,12-14,0.8667,13.644,0.0179,13,6,7,13.5167,13.7714
JJI-00049,Graduate,0,4.9,Rendah,0,out-of-fold (data berlabel),Pekerjaan Sosial (kelas malam),Pemegang Ijazah/Diploma Lain,Pemegang diploma spesialisasi teknologi,Kelas Malam,Perempuan,Lajang,20-22,21,130-140,133.4,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Tidak,Tidak,81-100%,12-14,1.0,12.3929,0.0,12,6,6,11.5,13.2857
JJI-00050,Graduate,0,3.3,Rendah,0,out-of-fold (data berlabel),Pekerjaan Sosial,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,19,120-130,126.1,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Tidak,Tidak,81-100%,12-14,0.9167,12.5833,0.1667,11,5,6,12.3333,12.8333
JJI-00051,Graduate,0,1.8,Rendah,0,out-of-fold (data berlabel),Pariwisata,Jalur Usia >23 Tahun,Jalur usia di atas 23 tahun,Kelas Siang,Perempuan,Lajang,23-25,24,<120,113.5,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Tidak,Tidak,81-100%,12-14,1.0,13.9167,0.0,12,6,6,13.6667,14.1667
JJI-00052,Enrolled,,47.4,Tinggi,1,prediksi (mahasiswa aktif),Keperawatan,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,19,120-130,121.3,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Ya,Tidak,51-80%,10-12,0.75,11.8333,0.0,12,6,6,11.8333,11.8333
JJI-00053,Enrolled,,83.0,Sangat Tinggi,1,prediksi (mahasiswa aktif),Jurnalistik & Komunikasi,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,20-22,20,120-130,121.8,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Ya,Tidak,51-80%,12-14,0.5833,12.5,-0.1667,7,4,3,14.0,11.0
JJI-00054,Graduate,0,12.5,Rendah,0,out-of-fold (data berlabel),Pengelolaan Kuda (Equinculture),Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,19,>150,159.3,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,81-100%,>14,1.0,15.2571,0.0,10,5,5,14.7143,15.8
JJI-00055,Dropout,1,19.8,Rendah,0,out-of-fold (data berlabel),Manajemen (kelas malam),Jalur Usia >23 Tahun,Jalur usia di atas 23 tahun,Kelas Malam,Perempuan,Lajang,26-30,27,<120,120.0,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,81-100%,10-12,1.0,10.8,0.0,10,5,5,10.6,11.0
JJI-00056,Graduate,0,5.4,Rendah,0,out-of-fold (data berlabel),Keperawatan,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,18,120-130,129.1,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,1.0,13.3197,0.0,15,7,8,13.0444,13.595
JJI-00057,Dropout,1,100.0,Sangat Tinggi,1,out-of-fold (data berlabel),Pariwisata,Pemegang Ijazah/Diploma Lain,Pemegang ijazah pendidikan tinggi lain,Kelas Siang,Perempuan,Menikah,31-40,39,120-130,130.0,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,0% (tidak lulus satu pun),Tanpa nilai,0.0,0.0,0.0,0,0,0,0.0,0.0
JJI-00058,Dropout,1,13.4,Rendah,0,out-of-fold (data berlabel),Pengelolaan Kuda (Equinculture),Jalur Usia >23 Tahun,Jalur usia di atas 23 tahun,Kelas Siang,Perempuan,Lajang,26-30,27,>150,155.3,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,0.8824,12.95,0.0758,15,5,10,13.0,12.9
JJI-00059,Graduate,0,5.9,Rendah,0,out-of-fold (data berlabel),Keperawatan,Seleksi Reguler,Seleksi umum - fase 2,Kelas Siang,Perempuan,Lajang,17-19,18,130-140,139.8,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,>14,1.0,14.935,0.0,16,8,8,14.935,14.935
JJI-00060,Enrolled,,61.5,Sangat Tinggi,1,prediksi (mahasiswa aktif),Desain Animasi & Multimedia,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,18,<120,115.2,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,0% (tidak lulus satu pun),Tanpa nilai,0.0,0.0,0.0,0,0,0,0.0,0.0
JJI-00061,Graduate,0,6.4,Rendah,0,out-of-fold (data berlabel),Keperawatan,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Perempuan,Lajang,17-19,18,<120,114.9,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,81-100%,12-14,0.8667,12.6774,0.0179,13,6,7,13.1333,12.2214
JJI-00062,Graduate,0,2.7,Rendah,0,out-of-fold (data berlabel),Pekerjaan Sosial,Pemegang Ijazah/Diploma Lain,Pemegang diploma spesialisasi teknologi,Kelas Siang,Perempuan,Lajang,20-22,21,130-140,131.9,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Tidak,Tidak,81-100%,10-12,1.0,12.0,0.0,12,6,6,12.0,12.0
JJI-00063,Enrolled,,61.3,Sangat Tinggi,1,prediksi (mahasiswa aktif),Desain Animasi & Multimedia,Seleksi Reguler,Seleksi umum - fase 2,Kelas Siang,Laki-laki,Lajang,17-19,19,120-130,126.0,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Ya,Tidak,0% (tidak lulus satu pun),Tanpa nilai,0.0,0.0,0.0,0,0,0,0.0,0.0
JJI-00064,Enrolled,,97.5,Sangat Tinggi,1,prediksi (mahasiswa aktif),Desain Komunikasi,Seleksi Reguler,Seleksi umum - fase 2,Kelas Siang,Laki-laki,Lajang,17-19,19,130-140,130.2,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,1-50%,10-12,0.5,10.7,-0.6667,6,5,1,11.4,10.0
JJI-00065,Enrolled,,99.9,Sangat Tinggi,1,prediksi (mahasiswa aktif),Desain Komunikasi,Pindahan / Ganti Program,Pindah program studi,Kelas Siang,Laki-laki,Lajang,23-25,24,120-130,120.9,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,0% (tidak lulus satu pun),Tanpa nilai,0.0,0.0,0.0,0,0,0,0.0,0.0
JJI-00066,Dropout,1,87.5,Sangat Tinggi,1,out-of-fold (data berlabel),Keperawatan,Pindahan / Ganti Program,Transfer,Kelas Siang,Laki-laki,Bercerai,26-30,29,120-130,126.0,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,51-80%,10-12,0.6667,11.45,-0.0893,10,5,5,11.9,11.0
JJI-00067,Graduate,0,44.8,Tinggi,1,out-of-fold (data berlabel),Desain Animasi & Multimedia,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Laki-laki,Lajang,17-19,19,120-130,128.2,Aman (lunas & tidak menunggak),Ya,Tidak,Ya,Ya,Tidak,0% (tidak lulus satu pun),Tanpa nilai,0.0,0.0,0.0,0,0,0,0.0,0.0
JJI-00068,Graduate,0,3.9,Rendah,0,out-of-fold (data berlabel),Agronomi,Pemegang Ijazah/Diploma Lain,Pemegang diploma spesialisasi teknologi,Kelas Siang,Laki-laki,Lajang,23-25,23,120-130,130.0,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Ya,Tidak,81-100%,12-14,1.0,12.5,0.0,12,6,6,12.5714,12.4286
JJI-00069,Dropout,1,38.7,Tinggi,1,out-of-fold (data berlabel),Manajemen,Seleksi Reguler,Seleksi umum - fase 1,Kelas Siang,Laki-laki,Lajang,17-19,19,120-130,120.1,Perlu perhatian (1 masalah),Ya,Ya,Tidak,Tidak,Tidak,81-100%,10-12,0.9,10.975,-0.2,9,5,4,11.2,10.75
JJI-00070,Enrolled,,37.0,Tinggi,1,prediksi (mahasiswa aktif),Pariwisata,Jalur Usia >23 Tahun,Jalur usia di atas 23 tahun,Kelas Siang,Laki-laki,Lajang,26-30,26,<120,100.0,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,81-100%,10-12,0.9167,11.4,-0.1667,11,6,5,12.0,10.8
JJI-00071,Enrolled,,98.4,Sangat Tinggi,1,prediksi (mahasiswa aktif),Manajemen,Seleksi Reguler,Seleksi umum - fase 2,Kelas Siang,Laki-laki,Lajang,17-19,18,130-140,134.0,Aman (lunas & tidak menunggak),Ya,Tidak,Tidak,Tidak,Tidak,0% (tidak lulus satu pun),Tanpa nilai,0.0,0.0,0.0,0,0,0,0.0,0.0
